Replacement,Original
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
YAML,Yamal
Talon Voice,talent voice
talon-list,talent list
macOS,makos
SentinelOne,sentinel one
FreeCAD,free cad
justfile,just file
