Letter,Spoken Form
# Defaults
a,air
b,bat
c,cap
d,drum
e,each
f,fine
g,gust
h,harp
# i,sit
# j,jury
# k,crunch
l,look
m,made
n,near
# o,odd
p,pit
q,quench
# r,red
# s,sun
t,trap
u,urge
v,vest
w,whale
x,plex
# y,yank
z,zip
# bat has a lot of false positives
# quench and crunch get mixed up
# Pokey https://github.com/pokey/pokey_talon/blob/main/settings/alphabet.csv
i,ink
j,jane
k,kick
o,oats
r,risk
s,spun
y,york
